	name	ores_score
1901	Juneidi Basha	Start
1902	Tadesse Birru	C
1903	Darge Sahle Selassie	GA
1904	Asrat Desta	Start
1905	Ergoge Tesfaye	Start
1906	Fitsum Assefa	Stub
1907	Alimirah Hanfare	GA
1908	Mawlid Hayir	Stub
1909	Adem Ibrahim	Stub
1910	Kitaw Ejigu	C
1911	Wondimu Kurta	Stub
1912	Lencho Letta	Start
1913	Mogus Wolde Mikael	Start
1914	Jawar Mohammed	GA
1915	Mulu Solomon	Start
1916	Sophia Yilma	C
1917	Su'ad Ahmed Farah	Stub
1918	Tekle Wolde Hawaryat	Start
1919	Teklewold Atnafu	Stub
1920	Tsegaye Mamo	Stub
1921	Andargachew Tsege	C
1922	Erhart Aten	Stub
1923	Gideon Doone	Stub
1924	John Ehsa	Start
1925	Jack Fritz	Stub
1926	Tony Ganngiyan	Stub
1927	Gerson Jackson	Start
1928	Lyndon Jackson	Start
1929	John Mangefel	Stub
1930	Masao Nakayama	Start
1931	Wesley Simina	Start
1932	Ansito Walter	Start
1933	Robert Weilbacher	Start
1934	Strik Yoma	Stub
1935	Nelson Delailomaloma	Stub
1936	Manilal Doctor	C
1937	Ema Druavesi	Stub
1938	James Fong	Start
1939	William Goodsir	Stub
1940	Hafizud Deen Khan	Start
1941	Apenisa Kurisaqila	Start
1942	Injimo Managreve	Stub
1943	Metuisela Mua	Start
1944	Pio Tabaiwalu	Stub
1945	Saula Telawa	Start
1946	Samuela Vunivalu	Start
1947	Josaia Waqabaca	Start
1948	Tanya Waqanika	Start
1949	Markku Andersson	Stub
1950	Erik Berg (politician)	Stub
1951	Arthur Brofeldt	Stub
1952	Anders Chydenius	C
1953	Selim Ekbom	Stub
1954	Erik Fleming (councilor)	Stub
1955	Klaus Fleming	Start
1956	Jakob Gadolin	Start
1957	Mikhail Fyodorovich Ganskau	Stub
1958	Carl Axel Gottlund	C
1959	Lars Gabriel von Haartman	Start
1960	Ilkka Hakalehto	Stub
1961	Max Jakobson	Start
1962	Fritz Arthur Jusélius	Stub
1963	Aleksander von Kothen	Stub
1964	Paul Kraatz	Stub
1965	Antti Kuosmanen	Stub
1966	Carl Fabian Langenskiöld	Stub
1967	Reino Ragnar Lehto	Stub
1968	Keijo Liinamaa	Start
1969	Verner Lindberg	Stub
1970	Olavi Mäenpää	Start
1971	Nils Mustelin	Start
1972	Kirsi Piha	Stub
1973	Toivo Topias Pohjala	Stub
1974	Karl August Ramsay	Stub
1975	Elisabeth Rehn	C
1976	Eino S. Repo	Start
1977	Matti Saarinen	Stub
1978	Helvi Sipilä	Start
1979	Georg Magnus Sprengtporten	Start
1980	Jacob Magnus Sprengtporten	C
1981	Aleksander Strandman	Stub
1982	Christoffer Taxell	Start
1983	Heikki Heikinpoika Vaanila	Stub
1984	Jaana Vasama	Stub
1985	Miranda Vuolasranta	Start
1986	Nils Westermarck	Start
1987	Anders Wirenius	Stub
1988	Konni Zilliacus (senior)	Start
1989	Jean Poldo d'Albenas	Stub
1990	Édouard André (art collector)	Start
1991	François-Gabriel d'Angeac	C
1992	Auguste Louis Albéric d'Arenberg	GA
1993	Hubert Astier	Start
1994	Raymond-Max Aubert	Stub
1995	Pierre-François Audry de Puyraveau	GA
1996	Antoine Avinin	Start
1997	Henri Barbet	C
1998	Monique Barbut	Start
1999	Umberto Battist	Stub
2000	Jean-François Bazin	Start
2001	Marc de Beauvau, Prince of Craon	Start
2002	Daniel Béguin	Stub
2003	Soheib Bencheikh	Start
2004	Jean-Pierre Berçot	Stub
2005	Michel Berson	Stub
2006	Georges Berthoin	Stub
2007	Bertrand de La Chesnais	Start
2008	Bertrand Nogaro	Stub
2009	Franck Biancheri	Start
2010	Olivier Bianchi	C
2011	Adolphe Billault	Start
2012	Jean Bonaventure Birotteau	Start
2013	Pierre Philibert de Blancheton	Stub
2014	Antoine Blondel	Start
2015	Roland Bondonny	Stub
2016	Gian Paolo Borghetti	C
2017	Élisabeth Borne	GA
2018	Paul Boudet	Start
2019	Gérard Boulanger	Stub
2020	Albert Bourderon	C
2021	François Bourdon	GA
2022	Anne du Bourg	Start
2023	Raphaël Bouton	Start
2024	Marie Bové	Stub
2025	Alexandre Jean-Baptiste de Boyer, Marquis d'Éguilles	GA
2026	Pierre Étienne Bourgeois de Boynes	Start
2027	Adolphe Brezet	Stub
2028	Franck Briffaut	Stub
2029	Barnabé Brisson	Start
2030	Victor-François, 8th duc de Broglie	Stub
2031	Gilberte Brossolette	Start
2032	Pierre Broussel	Stub
2033	Michel Bruguier	Start
2034	Dominique Bucchini	Start
2035	Bureau de La Rivière	Start
2036	Étienne-Laurent-Pierre Burnel	Start
2037	Jean Capelle (politician)	Stub
2038	Léon Carcassonne	Stub
2039	Pierre Cary	Stub
2040	Ignace Caseneuve	Start
2041	Charles Cassal	Stub
2042	Jacques la Caze	Stub
2043	Max-Théodore Cerfberr	Start
2044	Robert Chapuis	Start
2045	Jean Charbonnel	Stub
2046	Jean Auguste de Chastenet de Puységur	Stub
2047	Pierre-Jean-Baptiste Chaussard	Start
2048	Henri Philippe de Chauvelin	Stub
2049	Armand Chouffet	Start
2050	Pierre-Suzanne-Augustin Cochin	Stub
2051	Colette Codaccioni	Stub
2052	Édouard Colbert de Villacerf	Stub
2053	Maurice Colrat	Stub
2054	Honoré Commeurec	C
2055	Corinne Bouchoux	Start
2056	Jean Cotereau	Start
2057	Paul Cotte	Stub
2058	Georges Coulon	Start
2059	Michel Craplet	Stub
2060	Jacques Antoine Creuzé-Latouche	C
2061	Pierre Daru	Start
2062	Yves de Daruvar	Stub
2063	Claude Alphonse Delangle	Start
2064	Victor Denain	Start
2065	Ernest Denis	Stub
2066	Louis Grégoire Deschamps Destournelles	C
2067	Martial Borye Desrenaudes	Stub
2068	Éric Di Meco	Start
2069	Henry Dorgères	Stub
2070	Nicolas du Bosc	Start
2071	Guillaume du Tillot	C
2072	Antoine du Verdier	Stub
2073	Émile-Jules Dubois	Start
2074	Lucien-Rene Duchesne	Stub
2075	Théodore Ducos	Stub
2076	Édouard Dunglas	C
2077	Olivier Dutheillet de Lamothe	Stub
2078	Jean-Baptiste Duvergier	C
2079	Claude Louis d'Espinchal, marquis de Massiac	Stub
2080	Auguste Louis Antoine Fabre	Stub
2081	Jules-François-Paul Fauris de Saint-Vincens	Start
2082	Nasser Ramdane Ferradj	Start
2083	Lucien Finel	Stub
2084	Jacques Fournier (government official)	Start
2085	François II de Beauharnais	Stub
2086	Jean Frydman	Start
2087	Xavier de Fürst	Stub
2088	Charles Ganilh	Start
2089	Agénor de Gasparin	C
2090	Joseph Matthias Gérard de Rayneval	Start
2091	Charles Le Bègue de Germiny	C
2092	Roland Giberti	Stub
2093	Georges Ginoux	Stub
2094	Brigitte Girardin	Start
2095	Olivier Giscard d'Estaing	Start
2096	François Louis Auguste Goiran	Stub
2097	Marie-Thérèse Goutmann	Stub
2098	Madeleine de Grandmaison	Stub
2099	Ernest Granger	B
2100	Jean-Henry-Louis Greffulhe	Stub
2101	Louis Grillot	Stub
2102	Alain Griset	Start
2103	Jules Gros (journalist)	Start
2104	Odette Grzegrzulka	Start
2105	Guillaume IV de Melun	Stub
2106	Joseph-Ignace Guillotin	C
2107	Joseph Guinard	Stub
2108	Maurice d'Hartoy	Stub
2109	Guy Hascoët	Stub
2110	Charles Louis Bernard de Cléron, comte d'Haussonville	Stub
2111	Paul Hay du Chastelet	Stub
2112	Louis-Étienne Héricart de Thury	Start
2113	Édouard Hervé	Start
2114	Philippe Hervieu	Stub
2115	Prosper Hochet	C
2116	Charles Louis Huguet, marquis de Sémonville	Start
2117	Georges Humann	GA
2118	Philippe Hurault de Cheverny	Stub
2119	Max Hymans	Stub
2120	Laurent Jacobelli	Start
2121	Jean-Pierre Gorges	C
2122	Armand Félix Marie Jobbé-Duval	C
2123	Édouard Jonas	C
2124	Jean Kaltenbach	Stub
2125	Philippe Karsenty	C
2126	Pierre-Charles Krieg	Start
2127	Étienne de La Grange	Stub
2128	François-René de La Tour du Pin Chambly, marquis de La Charce	C
2129	Guillaume-Xavier Labbey de Pompières	GA
2130	Joachim Labrouche	Stub
2131	Suzanne Lacore	C
2132	Jean-Baptiste Lacoste	Start
2133	Chrétien François de Lamoignon de Basville	Stub
2134	Antoine-Adrien Lamourette	Start
2135	Hyacinthe Gaëtan de Lannion	Stub
2136	Louis Lareng	Stub
2137	Hippolyte Laroche	Start
2138	Marc David Alba Lasource	Start
2139	Lucien Le Foyer	C
2140	Jean Le Mercier	Start
2141	Patrick Leclercq	Start
2142	Adrien de Lezay-Marnésia	Stub
2143	Gustave Lhopiteau	Stub
2144	Eric Loiselet	Stub
2145	David Lorion	Stub
2146	Charles Luca	Stub
2147	Jean-Baptiste Mailhe	Start
2148	Jacques-Antoine Manuel	Start
2149	Jacques Marquet de Montbreton de Norvins	Stub
2150	Damien de Martel	Stub
2151	Henri Martin (winemaker)	Start
2152	Philippe Massoni	Stub
2153	Jean Mattéoli	Start
2154	Charlemagne de Maupas	C
2155	Jeanne Mélin	C
2156	Émile-Justin Menier	Start
2157	Paul Mentré	Start
2158	Jean Ernest Mercier	Start
2159	Dominique Meyer	Start
2160	Daniel Mio	Start
2161	Bon-Adrien Jeannot de Moncey	Start
2162	Joseph François Augustin Monneron	Stub
2163	Gérard Montassier	Start
2164	Guillaume-Isidore Baron de Montbel	C
2165	Jean Baptiste Antoine Auget de Montyon	Start
2166	Yvon Morandat	C
2167	Bernard Morel (economist)	Stub
2168	Alex Moscovitch	Start
2169	Ilham Moussaïd	Stub
2170	Lionel de Moustier	C
2171	Simon Nora	C
2172	Albert Ollivier	Stub
2173	Érik Orsenna	Start
2174	Louis Pailhas	Start
2175	Philippe Paolantoni	Stub
2176	Alexandre Parodi	C
2177	Pierre Pasquini	Stub
2178	Constantin Pecqueur	B
2179	Hélène Pelosse	Start
2180	François-Xavier de Peretti	Stub
2181	Joseph Périer	GA
2182	Victor Perret	C
2183	Marc Perrin de Brichambaut	Start
2184	Marcel Petiot	C
2185	Henri Peyroux de la Coudrenière	Start
2186	Louis Phélypeaux, comte de Saint-Florentin	Start
2187	Louis Phélypeaux, marquis de La Vrillière	Stub
2188	Louis Phélypeaux, seigneur de La Vrillière	Stub
2189	Hajasoa Vololona Picard	Start
2190	Louis Pierna	Stub
2191	Pierre Ferri-Pisani	C
2192	Ernest Pinard	C
2193	Christophe Porquier	Stub
2194	Antoine Portail	Start
2195	Michel Pouzol	Stub
2196	Henri Pozzi	Stub
2197	Rodolphe Prager	Start
2198	Francis de Pressensé	Start
2199	Angèle Préville	Start
2200	Gabriel Puaux	Stub
2201	Jean-Pierre Casimir de Marcassus, Baron de Puymaurin	Stub
2202	Jean-Marie Rausch	Stub
2203	Jean Reboul	Stub
2204	Marie Roch Louis Reybaud	Stub
2205	René Ribière	Stub
2206	Antoine Richard du Cantal	C
2207	Marthe Richard	GA
2208	Philippe Rio	Start
2209	Jean Gabriel Maurice Rocques	Start
2210	Joseph Romain-Desfossés	Start
2211	José Rossi	Stub
2212	Sandrine Rousseau	C
2213	Alexandre Rousselin de Saint-Albin	Start
2214	Ernest de Royer	Start
2215	Armand Charles Emmanuel Guignard, comte de Saint-Priest	Stub
2216	Jean Sauvage	Stub
2217	Jean-Baptiste Say	C
2218	Lucile Schmid	Start
2219	Michel Souplet	Stub
2220	Anton Carl Ludwig von Tabouillot	Start
2221	Claude Taleb	Stub
2222	François-Alexandre Tardiveau	Stub
2223	Jean Tavernier	Stub
2224	Pierre Edmond Teisserenc de Bort	Start
2225	François Auguste de Thou	Stub
2226	Jacques-Alexis Thuriot de la Rosière	C
2227	Lionel Tivoli	Start
2228	Jean-Michel Tobie	Stub
2229	Charles de Varigny	C
2230	Henri-Auguste-Georges du Vergier	Stub
2231	Gaston Vidal	Stub
2232	Jean-Paul-Alban Villeneuve-Barcement	Stub
2233	Adolphe Vuitry	GA
2234	Laurent Wetzel	Start
2235	Charles Emile Wickersheimer	C
2236	Fred Zeller	Start
2237	Éric Zemmour	GA
2238	Jean-Marie Zoellé	Start
2239	Jean Zyromski	B
2240	Mathurin Anghiley	Stub
2241	Jean-Hilaire Aubame	GA
2242	Paul Gondjout	GA
2243	Erlyne Antonella Ndembet	Stub
2244	Estelle Ondo	Stub
2245	Ida Reteno Assonouet	Stub
2246	Abou Karamba Kassamba	Stub
2247	Ajaaratou Satang Jow	Stub
2248	Amie Bojang-Sissoho	Start
2249	Abdoulie Bojang	Stub
2250	Buba Samura	Stub
2251	Fatou Sanyang Kinteh	Start
2252	Mai Fatty	Stub
2253	Omar Gassama	Stub
2254	Modou Bamba Gaye	Stub
2255	Amadou Scattred Janneh	C
2256	Fabakary Jatta	Start
2257	Joseph Henry Joof	Stub
2258	Kunda Kamara	Stub
2259	Lucretia St. Clair Joof	Stub
2260	Muhammed Magassy	Start
2261	Basiru Mahoney	Start
2262	Alieu Badara Njie	Start
2263	Momodou Sabally	Stub
2264	Lamin Saine	Start
2265	Pap Cheyassin Secka	C
2266	Alieu Badara Saja Taal	Stub
2267	Zaur Ardzinba	Start
2268	Gennadi Berulava	Stub
2269	Mikhail Bgazhba	Stub
2270	Samson Chanba	Start
2271	Efrem Eshba	Stub
2272	Almas Japua	Start
2273	Batal Kobakhia	Stub
2274	Valerian Kobakhia	Stub
2275	Nestor Lakoba	FA
2276	Sumbat Saakian	Stub
2277	Shota Shamatava	Stub
2278	Bagrat Shinkuba	Start
2279	Werner E. Ablaß	Start
2280	Karl Gustav Ackermann	Start
2281	Shqiprim Arifi	Start
2282	Rudi Arndt	Start
2283	Rudolf Bahro	C
2284	Otto Ballerstedt	C
2285	Joachim Otto von Bassewitz	Start
2286	Bruno Baum	C
2287	Karl Theodor Bayrhoffer	C
2288	Otto Beck	Start
2289	Klaus Bernbacher	C
2290	Gerhard Besier	C
2291	Georg von Blumenthal	Start
2292	Johann Christian von Boyneburg	Stub
2293	Kristin Brinker	Stub
2294	Rudolf Brinkmann (economist)	Start
2295	Wolfram Brück	Start
2296	Heinrich von Brühl	C
2297	Ignatz Bubis	C
2298	Stephan von Dassel	Stub
2299	Karamba Diaby	C
2300	John Ehret	Start
2301	Karl Eichfeld	Stub
2302	Dieter Engels	Stub
2303	Christian Wilhelm Karl Ewald	Stub
2304	Christian August von Eyben	Start
2305	Georg Fein	Start
2306	Heinrich Fleißner	Start
2307	Friedrich Johannes Frommann	Start
2308	Paul Fugger von Kirchberg und Weißenhorn	Stub
2309	Günter Gaus	GA
2310	Friedrich von Gentz	B
2311	Tobias Goldschmidt	Start
2312	Carl Heinrich Wilhelm Hagen	Stub
2313	Gert Haller	Stub
2314	Karl Harrer	Start
2315	Roland Heintze	Stub
2316	Hermann Heller (legal scholar)	Start
2317	Jakob Heller	Stub
2318	Ernst Henrici	Start
2319	Georg Herber	GA
2320	Rudolf Hilf	Start
2321	Joseph Hillebrand	Start
2322	Ulrike Höfken	Stub
2323	Herwart von Hohenburg	Start
2324	Franz Christoph Anton, Count of Hohenzollern-Sigmaringen	Start
2325	Hermann Eduard von Holst	Start
2326	Friedrich von Holstein	C
2327	Martin Horn (politician)	Start
2328	Christoph Ernst von Houwald	Start
2329	Bernd Hüttemann	Start
2330	Emilie Kiep-Altenloh	Stub
2331	Johann Ludwig Klüber	Stub
2332	Caio Koch-Weser	Start
2333	Tobias Köck	Start
2334	Francis Kruse	Stub
2335	Gottlob Johann Christian Kunth	Start
2336	Dieter Kunzelmann	Stub
2337	Kurt Blaum	Start
2338	Marianne Laqueur	Start
2339	Charles Lavy	Stub
2340	Felix Lichnowsky	Start
2341	Moriz Lieber	Start
2342	Eduard von Liebert	C
2343	Ludwig von Lützow (politician)	Stub
2344	Carl Otto von Madai	Stub
2345	Wolfgang Mischnick	C
2346	Armin Mohler	C
2347	Max Montgelas	Start
2348	Wolfgang Müller von Königswinter	Start
2349	Joseph Musiol	Start
2350	Theodor Olshausen	Start
2351	Dietrich Heinrich Ludwig von Ompteda	Start
2352	Max von Oppenheim	FA
2353	Christian Friedrich von Otto	Stub
2354	Christian Theodor Overbeck	Stub
2355	Hans Paasche	C
2356	Walter von Saint Paul-Illaire	C
2357	Friedrich-Carl Peus	Stub
2358	H. Busso Peus	Stub
2359	Wolfgang Pfahl	Stub
2360	Franz Seraph von Pfistermeister	Start
2361	Adolf Pilar von Pilchau	Start
2362	Boris Pistorius	GA
2363	Gunter Pleuger	Stub
2364	Eduard Puricelli	Start
2365	Johan Rantzau	Start
2366	Albrecht von Rechenberg	C
2367	Moritz Rittinghausen	B
2368	Wolfgang Roth (politician)	Start
2369	Eduard von Schele zu Schelenburg	Stub
2370	Marco Scherbaum	C
2371	Paul Schiemann	C
2372	Ernst Wilhelm von Schlabrendorf	Stub
2373	Friedrich Gustav Carl Ulrich Franz von Schnehen	Stub
2374	Andreas von Schoeler	Start
2375	Joachim, Count of Schönburg-Glauchau	Start
2376	Peter Schott	Start
2377	Günther Schwarz (politician)	Stub
2378	Adam, Count of Schwarzenberg	C
2379	Mignon Schwenke	Stub
2380	Veit Ludwig von Seckendorff	Start
2381	Joachim Siegerist	Start
2382	Paul Spiegel	Start
2383	Baldur Springmann	Start
2384	Ashok-Alexander Sridharan	C
2385	Gerhard Stahl	C
2386	Karl von Starck	Stub
2387	Gustav Adolf Steengracht von Moyland	Stub
2388	Henry Ernest of Stolberg-Wernigerode	Start
2389	Günter-Helge Strickstrack	Stub
2390	Anna Strohsahl	C
2391	Bertram von Sturm	Start
2392	Heinrich Sudermann	Stub
2393	Anton Tausche	Start
2394	Wolfgang Templin	Start
2395	Stanislaw Trabalski	C
2396	Heinrich Voelter	Stub
2397	Hans-Karl von Unger	Stub
2398	Hellmuth Weiss	Stub
2399	Hugo Wesendonck	Start
2400	Klaus Wiener	Start
2401	Willi Brundert	Start
2402	Ludwig Georg Winter	Stub
2403	Hermann Wittich	Stub
2404	Petra Zais	Start
2405	Hans Ziegler (politician)	Start
2406	Nicolas Zippelius	Stub
2407	Yaw Owusu Addo	Stub
2408	Joseph Adjei Buadi	Start
2409	Daniel Alolga Akata Pore	Stub
2410	Chris Bukari Atim	Stub
2411	Ato Austin	Start
2412	Kofi Batsa	Start
2413	Larry Bimi	Stub
2414	George Boakye	Start
2415	Nana Agyenim Boateng	Stub
2416	Alhaji Umar B. Bodinga	Stub
2417	Cornelius Dartey Tay	Stub
2418	Vincent Kwabena Damuah	C
2419	Daniel Buadi	Start
2420	Dickson Adomako Kissi	Start
2421	G. A. K. Dzansi	Start
2422	Ekow Daniels	Stub
2423	Emmanuel Kwamina Crentsil	Stub
2424	Samuel Gyabaah	Stub
2425	J. E. Casely Hayford	C
2426	Hopeson Adorye	Stub
2427	Mariam Iddrisu	Start
2428	John Kofi Barku Tettegah	C
2429	Agyen Kokobo	Start
2430	Kofi Koranteng	C
2431	Ofusu Kwabi	Stub
2432	Dan Lartey	Start
2433	Joshua Makubu	Start
2434	Margaret Ocran	Stub
2435	John Mensah Sarbah	C
2436	Frederick Nanka-Bruce	Start
2437	Nelson Kwami Maglo	Start
2438	Matthew Opoku Prempeh	C
2439	Benjamin Quartey-Papafio	B
2440	Shani Alhassan Saibu	Stub
2441	John Hope Smith	Start
2442	Sulemanu Kwame Tandoh	Start
2443	John van der Puije	C
2444	Victoria Tagoe	Stub
2445	Nana Oye Mansa Yeboaa	Start
2446	Sefis Anastasakos	Stub
2447	Avraam Vaporidis	Stub
2448	Christos Daralexis	Stub
2449	Alcibiades Diamandi	C
2450	Ali Dino	Stub
2451	Georgios Drys	Stub
2452	Asimakis Fotilas	Start
2453	Spyridon Galinos	Stub
2454	Nasos Iliopoulos	Start
2455	Ioannis Malachias	Stub
2456	Theophilos Kamberidis	C
2457	Stavros Karampelas	Stub
2458	Ioanna Karyofylli	Start
2459	Giorgos Katiforis	Stub
2460	Yannis Katsafados	Stub
2461	Matthaios Kofidis	B
2462	Georgios Kourtoglou	Stub
2463	Failos Kranidiotis	Start
2464	Nikolaos Makris	Stub
2465	Ismail Molla	Stub
2466	Yannis Moralis (politician)	Start
2467	Traianos Nallis	Start
2468	Theodoros Negris	Start
2469	Nicholas Yatromanolakis	Start
2470	Alketas Panagoulias	C
2471	Yiannis Papadimitriou	Stub
2472	Alekos Papadopoulos	Start
2473	Takis Papageorgopoulos	Stub
2474	Fotis Perlikos	Start
2475	Avraham Rakanti	Stub
2476	Vassilis Rotas	Start
2477	Neoklis Sarris	Start
2478	Simos Simopoulos	Stub
2479	Sofoklis Avraam Choudaverdoglou-Theodotos	Start
2480	Christos Stefanopoulos	Stub
2481	Fotini Dekazou Stefanopoulou	Stub
2482	Georgios Tertsetis	Start
2483	Giannis Theonas	Stub
2484	Theofanis Tombras	C
2485	Eugenia Tsoumani-Spentza	Stub
2486	Nikolaos Tsourouktsoglou	Start
2487	Spyridon Valettas	Start
2488	Leonidas Varouxis	Stub
2489	Nikitas Venizelos	Stub
2490	Lysandros Vilaetis	Stub
2491	Nikolaos Vilaetis	Stub
2492	Anestis Vlahos	Stub
2493	Christos Zachopoulos	Stub
2494	Konstantinos Zervas	Start
2495	Spiros Zournatzis	Stub
2496	Francis Alexis	Start
2497	Gloria Banfield	Stub
2498	Michael Church	Stub
2499	George E. D. Clyne	Stub
2500	John Watts (Grenadian politician)	C
2501	Aldana Sandoval	Start
2502	Bernardo Arévalo	Stub
2503	Diego Arzú	Stub
2504	Roberto Arzú	Start
2505	Juan José de Aycinena y Piñol	C
2506	Mariano de Aycinena y Piñol	GA
2507	José Francisco Barrundia	Start
2508	Luis Batres Juarros	C
2509	José Batres Montúfar	C
2510	Óscar Berger	Start
2511	Pedro Brolo	Start
2512	Ricardo Bueso	Stub
2513	Harold Caballeros	C
2514	Jafeth Cabrera	Start
2515	Carlos Castillo Medrano	Stub
2516	Guillermo Castillo Reyes	Stub
2517	Álvaro Colom	C
2518	Manuel Conde Orellana	Stub
2519	Edwin Escobar Hill	Start
2520	Rafael Espada	Start
2521	Isaac Farchi	Stub
2522	Juan Alfonso Fuentes Soria	Stub
2523	Estuardo Galdámez	Stub
2524	Jorge García Granados	Start
2525	Alejandro Giammattei	GA
2526	Joaquín Méndez	Start
2527	Jonathan Menkos	Stub
2528	José Milla y Vidaurre	Start
2529	Roberto Molina Barreto	Stub
2530	Pedro Molina Mazariegos	Stub
2531	Luis Francisco Ortega Menaldo	Stub
2532	Manuel Francisco Pavón Aycinena	C
2533	Otto Pérez Molina	B
2534	Samuel Pérez Álvarez	Stub
2535	Guillermo Pineda	Start
2536	Ramiro Ponce Monroy	Stub
2537	Alfonso Portillo	C
2538	Mariano Rivera Paz	FA
2539	Rafael Spinola	GA
2540	Eduardo Stein	Start
2541	Manuel Villacorta	Start
2542	Najib Roger Accar	Stub
2543	Thierno Aliou	Start
2544	Mahmoud Bah	Start
2545	Mamadou Boye Bah	Start
2546	Fodé Bangoura	Stub
2547	Karim Bangoura	Stub
2548	Mafory Bangoura	GA
2549	Barry III	C
2550	Alpha Oumar Barry	Start
2551	Diawadou Barry	Start
2552	Ibrahima Sory Barry	Stub
2553	Édouard Benjamin	Stub
2554	Balla Camara	Stub
2555	Bengaly Camara	Stub
2556	Damantang Camara	Stub
2557	Faraban Camara	Stub
2558	Sekou Benna Camara	Start
2559	Zeinab Camara	Start
2560	Fode Cisse	Stub
2561	Saliou Coumbassa	Start
2562	Moussa Diakité	Start
2563	Abdourahamane Diallo	Stub
2564	Boubacar Yacine Diallo	Stub
2565	Mamadou Pathé Diallo	Start
2566	Siradiou Diallo	C
2567	Yacine Diallo	Stub
2568	Lansana Diané	C
2569	Alioune Dramé	Start
2570	K. Guilavogui	Stub
2571	Mory Sinkoun Kaba	Start
2572	Tibou Kamara	Stub
2573	Fodéba Keïta	C
2574	N'Famara Keïta	Start
2575	Dansa Kourouma	Stub
2576	Mohamed Mancona Kouyaté	Stub
2577	Édouard Niankoye Lamah	Stub
2578	Albert Liurette	Stub
2579	Achkar Marof	Start
2580	Claude Pivi	Stub
2581	Dinah Salifou	C
2582	Koutoub Moustapha Sano	Start
2583	Mamba Sano	Stub
2584	Aissata Mariama Soumah	Stub
2585	Ibrahima Abé Sylla	Start
2586	Diallo Telli	C
2587	Abdoulaye Touré	Start
2588	Ahmed Sékou Touré	C
2589	Facinet Touré	Stub
2590	Fode Mamadou Touré	Stub
2591	Ismaël Touré	GA
2592	Elhadj Oumar Traoré	Stub
2593	Fatumata Djau Baldé	Stub
2594	Botche Candé	Stub
2595	Juliano Fernandes	Stub
2596	Teodora Inácia Gomes	C
2597	Desejado Lima da Costa	Stub
2598	Aristide Menezes	Stub
2599	Florentino Mendes Pereira	Stub
2600	Carmelita Pires	Start
2601	Antony Beaujon	C
2602	Stephen Campbell	Start
2603	John Carter (ambassador)	Start
2604	Peter D'Aguiar	C
2605	Roy Fredericks	Start
2606	Rahman Baccus Gajraj	Stub
2607	Winifred Gaskin	C
2608	Joseph Harmon	Stub
2609	Rashleigh Jackson	Stub
2610	Manzoor Nadir	Start
2611	Ubraj Narine	Stub
2612	Robert Persaud	Stub
2613	Jane Phillips-Gay	C
2614	Barton Scotland	Stub
2615	C. N. Sharma	Start
2616	Alfred A. Thorne	B
2617	A. R. F. Webber	Start
2618	Robert Victor Evan Wong	C
2619	President of Haiti	C
2620	Georges Anglade	Start
2621	Paul Arcelin	Start
2622	Rosalvo Bobo	Start
2623	Jean-Fernand Brierre	Start
2624	Luckner Cambronne	Start
2625	Massillon Coicou	C
2626	Oswald Durand	C
2627	Evans Lescouflair	Stub
2628	Gérard Gourgue	Start
2629	Ariel Henry	GA
2630	Fernand Hibbert	Stub
2631	Jean-Chrisostôme Imbert	Stub
2632	Joseph Mécène Jean-Louis	Stub
2633	Jean Julme	Start
2634	Joseph Lambert (Haitian politician)	Start
2635	Lorimer Denis	Start
2636	Robert Manuel (politician)	Start
2637	Frédéric Marcelin	Stub
2638	Alix Mathon	Stub
2639	Solon Ménos	Stub
2640	André Michel (lawyer)	Stub
2641	Jean-Baptiste Mills	Stub
2642	Jules Solime Milscent	Stub
2643	Jovenel Moïse	C
2644	Émile Nau	Stub
2645	Septimus Rameau	Stub
2646	Jacques Roumain	C
2647	Philippe Thoby-Marcelin	Start
2648	Pompée Valentin Vastey	Start
2649	Gary Victor	Start
2650	Yolani Batres	Stub
2651	Aníbal Delgado Fiallos	Start
2652	Carlos Escaleras	Start
2653	Miguel Andonie Fernández	Stub
2654	Carlos Zúñiga Figueroa	Start
2655	Renato Florentino	Stub
2656	Justo Herrera	Stub
2657	Jorge Calix	Start
2658	José Jeronimo Zelaya	Stub
2659	José María Martinez Salinas	Stub
2660	Salvador Nasralla	C
2661	Joaquín Rivera	Stub
2662	Agapito Robleda Castro	Start
2663	Marlon Tábora Muñoz	C
2664	Carlos Urbizo	Start
2665	José Cecilio del Valle	C
2666	József Ágoston	Stub
2667	Aladár Andrássy	Stub
2668	György Andrássy	Stub
2669	Károly Andrássy	Stub
2670	Manó Andrássy	Stub
2671	Antal Csárdi	Stub
2672	Tristan Azbej	Start
2673	Tamás Bakócz	Start
2674	Franz Anton Basch	Start
2675	Stephen VII Báthory	Stub
2676	Stephen III Báthory	Start
2677	Stephen V Báthory	B
2678	Balthasar Báthory	Start
2679	Dávid Bélaváry	Start
2680	Elek Benedek	Start
2681	Márton Berzeviczy	Stub
2682	Farkas Bethlen	Start
2683	János Bethlen	Start
2684	Anett Bősz	Start
2685	Zoltán Böszörmény	Start
2686	Konrád Burchard-Bélaváry	Start
2687	Giovanni de Ciotta	Start
2688	Csaba Dömötör	Stub
2689	Csaba Gyüre	Start
2690	Mihály Csáky	C
2691	Zoltán Cséfalvay	Start
2692	Bódog Czorda	Stub
2693	Dávid Héjj	Stub
2694	Dénes Farkas	C
2695	Emil Dessewffy	Stub
